tenure_months,monthly_charges,support_tickets_last_90d,num_products,avg_login_frequency_per_week,churned
57.7,36.66,1,5,1.18,0
56.1,33.2,3,5,8.7,0
57.2,84.13,1,1,0.92,0
6.7,10.0,1,1,0.0,0
2.1,75.14,4,5,3.88,1
34.9,58.05,1,1,1.73,0
33.8,102.71,0,3,3.92,0
75.0,57.66,3,5,3.85,0
1.9,86.49,1,4,3.61,0
25.1,60.08,0,3,2.32,0
1.7,72.84,1,2,4.87,0
26.1,88.42,0,4,3.37,0
41.6,58.44,0,4,6.21,0
9.3,94.91,1,5,3.64,0
29.6,45.16,1,3,2.07,0
3.7,77.36,1,5,0.62,0
2.2,93.07,1,4,3.66,0
7.6,86.5,0,1,1.46,0
21.6,117.91,1,2,1.3,0
9.9,50.91,1,4,5.05,0
29.9,35.52,1,1,0.44,0
5.4,45.14,2,4,6.82,0
44.1,86.51,0,2,4.32,0
29.5,82.45,0,2,3.91,0
15.7,72.56,1,3,1.93,0
10.0,41.93,4,5,5.53,0
10.9,89.17,2,5,3.99,0
1.8,39.38,4,3,2.63,0
4.3,98.97,3,1,4.4,1
16.4,141.44,0,5,0.63,0
9.3,79.16,0,5,0.73,0
30.3,84.58,0,4,1.76,0
17.0,57.68,1,4,4.7,0
5.7,24.74,3,3,3.99,0
11.1,54.93,1,1,6.1,0
15.4,42.68,1,1,2.16,0
8.3,33.82,0,1,5.15,0
7.7,113.06,0,5,3.77,0
21.1,76.82,1,1,2.11,0
7.1,79.49,3,3,4.77,0
32.0,62.27,0,2,3.87,0
33.4,65.68,1,1,2.74,0
26.0,94.11,1,5,4.08,1
1.8,69.19,1,1,3.74,0
27.2,83.27,1,5,3.69,0
32.5,65.1,1,4,3.17,0
26.9,61.45,2,4,1.39,0
6.7,34.83,0,1,4.15,0
7.7,20.56,1,5,2.39,0
4.0,63.46,0,3,1.96,0
8.5,71.41,2,3,3.52,0
0.5,37.85,1,4,5.47,0
4.0,69.14,1,2,4.37,0
31.6,71.34,2,2,2.94,0
95.9,16.1,0,2,2.86,0
13.5,47.12,2,3,5.27,0
6.8,80.18,3,4,0.0,1
9.5,79.68,2,2,5.59,0
8.7,41.16,1,2,0.25,0
3.1,73.96,0,5,1.17,0
26.0,95.56,1,3,2.97,0
33.0,89.43,0,5,8.34,0
36.2,67.62,0,2,7.35,0
120.0,58.3,2,2,5.41,0
50.6,54.27,0,2,4.71,0
39.5,81.7,2,3,0.28,0
25.0,74.88,2,4,4.31,0
14.2,85.74,2,3,2.9,0
1.1,73.3,2,2,2.37,0
23.0,90.47,3,5,4.31,0
14.9,72.36,1,3,3.06,0
36.2,89.62,0,2,5.74,0
48.7,91.77,2,1,0.13,0
8.0,49.89,1,3,4.15,0
1.2,24.8,1,4,2.24,1
22.2,108.59,0,5,3.18,0
61.3,76.42,1,2,4.61,0
19.7,27.14,1,1,1.77,0
51.1,52.15,2,5,4.33,0
18.1,89.3,0,3,3.58,0
31.5,63.01,0,1,2.68,0
6.9,57.2,2,1,3.06,0
3.2,105.02,1,3,3.69,0
3.4,43.82,2,4,2.46,0
2.8,50.05,2,2,4.01,1
1.3,75.28,0,2,3.44,1
41.2,79.76,0,4,2.78,0
10.8,82.41,1,5,7.18,0
9.3,92.78,3,3,4.83,0
22.4,74.96,0,3,3.23,0
4.5,82.23,1,2,4.29,0
46.0,63.52,4,1,1.95,0
31.0,71.57,2,1,3.13,0
7.9,72.69,0,5,3.36,0
4.8,75.38,0,1,1.51,0
12.7,89.31,1,5,4.77,0
7.3,83.88,3,2,2.99,0
1.8,71.11,1,4,3.29,0
12.1,49.77,2,5,2.86,1
54.0,71.69,0,4,9.92,0
24.2,69.3,0,4,2.67,0
74.0,74.83,2,2,0.0,0
49.1,125.16,0,3,0.8,0
26.8,56.91,1,4,5.52,0
44.4,80.56,4,3,6.67,0
17.4,96.71,1,1,2.64,0
25.6,72.45,0,5,6.56,0
9.1,128.45,1,1,5.48,0
5.3,60.55,3,5,3.62,0
51.5,78.1,2,5,3.48,0
3.4,50.03,3,1,4.36,1
4.5,61.21,0,4,5.75,0
7.4,76.22,1,4,4.79,0
23.2,91.16,0,2,2.65,0
9.9,77.98,1,5,3.65,0
16.4,101.48,0,1,7.96,0
51.8,67.63,1,2,4.5,0
37.0,61.7,1,5,5.74,0
28.1,137.6,1,4,5.08,0
4.1,79.86,1,1,4.55,0
28.5,52.01,1,1,4.22,0
10.9,52.64,0,2,5.79,0
3.0,46.43,3,1,5.44,0
9.6,93.41,0,1,4.53,0
1.7,60.89,2,3,2.61,0
22.0,73.18,2,1,4.77,0
23.3,68.41,1,2,3.87,0
7.1,88.29,0,2,3.38,0
1.1,48.83,1,5,9.36,0
65.5,43.11,3,5,0.92,0
19.4,75.61,0,5,5.92,1
35.7,85.02,1,2,2.27,0
8.5,78.31,3,3,4.26,0
40.2,49.76,1,3,9.14,0
39.4,86.94,1,5,2.08,0
